brand,band,current_tech,synth_dial,tech_note,names_technology,origin,marks,evidence_source,site_domain,platform,fibre_synthetic_pct,fibre_styles
Drake's,accessible,1,1,,yes,licensed,Fresco(R); Supima; Lycra,census,us.drakes.com,shopify,2,420
John Smedley,accessible,1,1,,no,none,none (only Sea Island Cotton - a named/protected fibre appellation rather than a performance technology),flag_sample,johnsmedley.com,custom,0,147
Gran Sasso,accessible,1,1,,yes,unclear,Teflon; Rain Wool; Alcantara; Super Tasmania,flag_sample,shop.gransasso.it,custom,4,172
Johnstons of Elgin,accessible,1,1,,yes,licensed,Lycra,census,johnstonsofelgin.com,shopify,0,63
Raffi,accessible,1,1,,yes,house,"Aqua Cotton - HOUSE fabric name, in 72 of 214 product descriptions, written in the composition position as the material itself: 'a dash-printed button-front shirt in 100% Aqua Cotton', 'a mini-triangle printed polo in 100% Aqua Cotton', 'in soft Aqua Cotton'. It is also a product tag on 68 records a",census_followup,raffionline.com,shopify,2,184
BOSS,trueLux,2,2,,yes,both,NovaPoly(TM); GORE-TEX; Alcantara; Loro Piana; XL EXTRALIGHT(R); Supima,census,hugoboss.com,salesforce_commerce,17,849
Corneliani,trueLux,1,1,,yes,licensed,PrimaLoft (brand page only; no shoppable PDP found),screen_36,corneliani.com,magento,9,334
Canali,trueLux,1,1,,yes,house,Rain & Wind (membrane); Rain Protection (treatment); Impeccabile,screen_36,us.canali.com,custom,5,312
Thom Browne,trueLux,1,1,,yes,licensed,Supportive GEL(TM); Supima,census,thombrowne.com,shopify,10,322
Burberry,trueLux,2,2,,yes,unclear,"Burberry cotton gabardine (house, shower-resistant)",flag_sample,us.burberry.com,custom,19,332
Herno,trueLux,2,3,,yes,both,"WINDSTOPPER; Loro Piana Storm System; Polartec; GORE-TEX (2L/3L, Laminar); Nylon Ultralight; Nylon Chamonix",screen_36,us.herno.com,salesforce_commerce,45,347
Valstar,trueLux,1,1,,yes,licensed,"Storm System - LICENSED (Loro Piana's mark; standing rule: a Loro Piana mark on a house that is not Loro Piana is licensed). 1 of 515 catalogue products: 'crafted from a refined blend of virgin wool and technical jersey. Thanks to the Storm System treatment, the fabric is water- and wind-resistant w",census_followup,valstarmilano.com,shopify,12,201
Aspesi,trueLux,1,3,,yes,licensed,Thermore,screen_36,aspesi.com,shopify,23,218
Paul & Shark,trueLux,3,3,,yes,unclear,Typhoon(R); Typhoon(R) Platinum; Aqualeather(R); Save The Sea,flag_sample,paulandshark.com,salesforce_commerce,12,515
Sease,trueLux,4,5,"serious technical outerwear, and all of it Loro Piana’s Storm System, confirmed against the trademark register. As technical as the houses above it and not its own, which is what separates a 4 from a 5",yes,both,"LICENSED: WISH(R) and WOOLWISH(R) (Loro Piana wool marks); Rain System(R) (Loro Piana finish); Thermore(R) and Thermore Ecodown(R); Alcantara(R); Cordura(R); Dyneema(R); Dermizax(R); Thindown(R); RECCO(R); YKK(R) and YKK Aquaguard(R); Velcro(R); Supima. HOUSE: Solaro, sold as ""SEASE's iconic Solaro(",census,sease.it,shopify,8,327
Moncler,trueLux,3,4,,yes,licensed,"LICENSED: GORE-TEX(R) (incl. GORE-TEX INFINIUM(R) and 'WINDSTOPPER by GORE-TEX'); WINDSTOPPER(R); Polartec(R) (incl. Polartec Power Grid(R), Polartec Alpha(R), Polartec Delta(R)); PrimaLoft(R); CORDURA(R); Teflon(R); Alcantara(R); Dermizax(R); Dyneema(R); OrthoLite(R); Vibram(R); RECCO(R); YKK(R), Y",census,moncler.com,salesforce_commerce,48,591
Ferragamo,trueLux,1,1,,no,none,none,flag_sample,ferragamo.com,custom,5,90
Giorgio Armani,trueLux,1,1,,no,none,"No named fabric or membrane technology, licensed or house, on the Giorgio Armani men's line. The only term-list matches are unnamed generic descriptors: 'technical fabric' (18 PDPs) and 'water-repellent' (11 PDPs). Zero mill, membrane, insulation or branded-fibre marks; zero house fabric names.",census,armani.com,custom,7,584
Missoni,trueLux,1,1,,no,none,none,flag_sample,missoni.com,salesforce_commerce,14,119
Etro,trueLux,1,2,,no,none,"Nothing. Zero named fabric or membrane technologies, licensed or house, and zero trademark symbols of any kind. The single term-list hit in the whole US catalogue is one unnamed 'water-repellent' descriptor on one product.",census,etro.com,salesforce_commerce,5,422
Versace,trueLux,1,1,,no,none,none,flag_sample,versace.com,salesforce_commerce,11,261
Dolce&Gabbana,trueLux,1,1,,yes,licensed,"LICENSED, and only two, both branded fibres named in descriptive copy rather than in a composition line: Lycra(R) ('High swim briefs in eco Lycra') on 1 product, and Supima(R) ('made of fine Supima cotton') on 1 product. TENCEL appears once whole-page only and on no product slice, so it is not credi",census,dolcegabbana.com,salesforce_commerce,10,1546
Fendi,trueLux,1,2,,yes,licensed,LYCRA(R); Bananatex(R); Berto Industria Tessile abaca denim,census,fendi.com,custom,12,211
Valentino,trueLux,1,1,,no,none,none (only generic 'Technical Fabric' as a material descriptor on 2 bags),census,valentino.com,custom,13,197
Saint Laurent,trueLux,1,1,,no,none,none (generic 'water-repellent' in 3 product names/descriptions),census,ysl.com,custom,4,284
Celine,trueLux,1,1,,no,none,,screen_36,celine.com,custom,4,196
Givenchy,trueLux,1,1,,unclear,none,"none found in 236 of 401 men's styles read. Zero named fabric or technology marks, house or licensed. Only generic lower-case descriptive prose: 'technical fabric' (5), 'water-repellent' (2). Compositions are plain fibre percentages throughout (wool, cotton, polyamide, polyester, viscose, cupro, ace",census_followup,www.givenchy.com,salesforce_commerce,10,258
Gucci,trueLux,1,1,,yes,licensed,NATIVA(TM) wool,census,www.gucci.com,custom,12,375
Balenciaga,trueLux,2,3,,no,none,,screen_36,www.balenciaga.com,salesforce_commerce,14,338
McQueen,trueLux,1,1,,no,none,none,flag_sample,www.alexandermcqueen.com,custom,9,77
Maison Margiela,trueLux,1,2,,yes,licensed,GORE-TEX (MM6 x Salomon); Ambrox(R) (fragrance),census,www.maisonmargiela.com,salesforce_commerce,6,162
Rick Owens,trueLux,2,2,,yes,both,"LICENSED: CORDURA (9 men's products, named in the description as 'CORDURA COTTON' on the SS26 Temple GETH jeans/cargo); ECONYL(R) (2 men's, 14 catalogue-wide, 'MADE USING ECONYL(R) RECYCLED POLYAMIDE' on swimwear); Lycra (4 men's, named in the stretch-leather description 'BONDED TO A COTTON AND LYCR",census,www.rickowens.eu,shopify,9,639
Yohji Yamamoto,trueLux,1,1,,yes,licensed,"Thinsulate (Y's for men line, not Pour Homme)",screen_36,theshopyohjiyamamoto.com,shopify,5,897
Comme des Garçons,trueLux,1,2,,unclear,unclear,"Nothing on the brand's OWN domain, but the own-domain zero fails its controls (see searched) so it is not reportable as a zero. On the fallback channel - the Dover Street Market E-Shop, run by Comme des Garçons' own retail company - the CDG house men's assortment names exactly one: LICENSED CORDURA,",census,www.comme-des-garcons.com,custom,21,353
Junya Watanabe,trueLux,2,2,,unclear,licensed,"No own store exists, so nothing can be credited to an own site. On the channel where the goods actually sell - the Dover Street Market E-Shop - the Junya Watanabe assortment does name technology, all of it LICENSED and all of it arriving through collaborations: DryVent(TM) (The North Face's propriet",census,www.comme-des-garcons.com/junyawatanabeman.html,custom,,
Sacai,trueLux,1,3,,no,none,,screen_36,www.sacai.jp,shopify,17,90
Casablanca,trueLux,1,2,,no,none,"Nothing. Zero named fabric, membrane, insulation or branded-fibre technologies, licensed or house, across the men's line, and zero trademark symbols of any kind anywhere in the catalogue. The only term-list match is the unnamed generic descriptor 'Technical fabric' on 5 men's products (6 catalogue-w",census,casablancaparis.com,shopify,12,155
Jacquemus,trueLux,1,1,,no,none,"Nothing. Zero named fabric, membrane, insulation or branded-fibre technologies, licensed or house, across the men's line, and zero trademark symbols of any kind. The only term-list matches are two unnamed generic descriptors: 'technical fabric' on 4 products (windbreakers and the Curvo jacket - 'Tex",census,www.jacquemus.com,salesforce_commerce,6,225
Prada,trueLux,2,4,,yes,both,Extreme-Tex; Graphene; Re-Nylon (GORE-TEX on Linea Rossa accessories only),screen_36,www.prada.com,custom,24,334
Loewe,trueLux,1,1,,yes,licensed,"LICENSED, and exactly one: CORDURA, on a single men's product - 'Jacket in medium-weight technical cordura shell featuring a layered construction with detachable padded check lining'. It is written lower-case and carries no (R), but Cordura is Invista's registered fabric mark and it is named in the",census,www.loewe.com,salesforce_commerce,5,276
JW Anderson,trueLux,1,1,,no,none,,census,www.jwanderson.com,shopify,6,114
Dior,trueLux,1,1,,yes,house,"Dior Oblique jacquard; Dior Gravity (leather); technical fabric; water-repellent; water-resistant; [motif, not counted as cloth: Cannage, Toile de Jouy]",census,www.dior.com,custom,6,519
Amiri,trueLux,1,1,,no,none,none,flag_sample,amiri.com,shopify,16,275
Rhude,trueLux,1,2,,yes,licensed,"Riri (Swiss zipper maker) - LICENSED component mark, 26 of 341 PDPs, e.g. 'custom Riri zippers' in the PDP meta description. NO FABRIC OR TEXTILE TECHNOLOGY IS NAMED ANYWHERE: 0 hits for every term on the list (gore-tex, primaloft, cordura, thinsulate, coolmax, tencel, supima, lycra, membrane, water",census_followup,rh-ude.com,shopify,16,226
Palm Angels,trueLux,1,2,,no,none,,screen_36,www.palmangels.com,salesforce_commerce,24,169
Golden Goose,trueLux,2,3,,no,none,,screen_36,www.goldengoose.com,salesforce_commerce,9,217
Fear of God,trueLux,1,1,,no,none,none,flag_sample,fearofgod.com,shopify,7,118
Bode,trueLux,1,1,,no,none,,screen_36,bode.com,shopify,3,1275
Greg Lauren,trueLux,1,1,,no,none,,screen_36,greglauren.com,shopify,7,126
Visvim,trueLux,2,1,,yes,both,"GORE-TEX(R); CORDURA(R); WINDSTOPPER; SUPIMA; Vibram(R); riri(R) (Swiss riri); CROWN (vintage zips); Lonfresh; house: Mawata, Katazurizome, Gara-bou, Kasezome, Doro-zome, Cevian-ori, Nishijin-ori, Kurume Kasuri, Tango Chirimen, visvim harmonious process, Goodyear welt",census,shop.visvim.com,custom,4,873
Tom Ford,trueLux,1,1,,no,none,,census,www.tomfordfashion.com,salesforce_commerce,5,374
Ralph Lauren Purple Label,trueLux,1,1,,yes,licensed,Ventile,screen_36,www.ralphlauren.com,salesforce_commerce,2,272
Zegna,trueLux,3,1,,yes,both,"House cloths: Trofeo(R), 15milmil15, Oasi Cashmere, Oasi Lino, Cashseta, Cashco, Premium Cotton, High Performance(R), Vellus Aureum, ACHILLFARM(R), Traceable Wool, Pelle Tessuta, Secondskin, Crossover. House construction: Triple Stitch(TM). Licensed: Sanitized(R), Vibram(R), Litebase(R), Megagrip(R)",census,www.zegna.com,custom,1,383
Bottega Veneta,trueLux,1,1,,yes,both,BioBasedLeather(R); VN Preserve; Intrecciato; Intreccio; technical fabric; water-repellent; waterproof; nappa; Lycra (composition_only),census,www.bottegaveneta.com,salesforce_commerce,8,252
Berluti,trueLux,1,1,,yes,house,"Venezia Calf Leather (house, proprietary leather with its own materials page); generic descriptors only otherwise: waterproof, membrane, water-repellent; NO licensed third-party marks; NO trademark symbols anywhere",census,www.berluti.com,salesforce_commerce,4,124
Charvet,trueLux,1,1,,unclear,none,"NOTHING - and there is nothing to look at. charvet.com is a single holding page. After stripping the inline SVG logo, the entire <body> is 444 bytes: one logo, a mailto:contact@charvet.com link and a link to instagram.com/charvet_official. document.body.innerText is 1 character. The site's own inter",census_followup,charvet.com,custom,,
Husbands,trueLux,1,1,,no,none,,screen_36,husbands-paris.com,shopify,8,89
Brioni,trueLux,1,1,,yes,both,"House fabric names: Zefiro, Trama (weave), Iride. Licensed: Escorial wool (Escorial is a third-party wool trademark). Generic: water-repellent, waterproof, membrane, technical fabric, vicuna. NO trademark symbols anywhere on the site.",census,www.brioni.com,custom,2,507
Isaia,trueLux,1,1,,yes,both,"House fabric names: Aquaspider, Aqua (water-repellent family), Storm, Scuba Wool Comfort, Filo di Corallo, Cashmoleskin, Cottoncash, Techno Cotton Silk, Fibra Carbonio. Licensed: Cashwool (Zegna Baruffa's extrafine merino yarn trademark). NO trademark symbols anywhere on the site.",census,www.isaia.it,shopify,1,277
The Row,trueLux,1,1,,yes,licensed,"Supima (licensed US cotton fibre mark) in product descriptions; 'technical fabric' and 'waterproof' as generic descriptors. No house fabric name, no materials/technology page, NO trademark symbols anywhere.",census,www.therow.com,shopify,2,232
Lemaire,trueLux,1,1,,yes,licensed,"Ventile (R) and Harris Tweed (R) - both licensed third-party marks, both printed with the (R) symbol. Generic: water-repellent, technical fabric, waterproof. No house fabric name and no fabrics/technology page.",census,www.lemaire.fr,shopify,6,94
Jil Sander,trueLux,1,1,,yes,licensed,Vibram; Lycra (composition_only); water-repellent (generic descriptor),census,www.jilsander.com,salesforce_commerce,15,124
Acne Studios,trueLux,1,1,,yes,licensed,"ECONYL(R); TENCEL(TM) Lyocell; LENZING(TM) ECOVERO(TM); FSC(R); YKK (1 hit, whole-page only)",census,www.acnestudios.com,salesforce_commerce,4,259
Dries Van Noten,trueLux,1,1,,no,none,none,flag_sample,www.driesvannoten.com,shopify,6,143
Wales Bonner,trueLux,1,1,,yes,licensed,Ecco(R) Leather; Loro Piana doeskin wool (licensed by standing rule); Vibram sole,census,walesbonner.com,shopify,15,88
JiyongKim,trueLux,2,1,,yes,licensed,GORE-TEX,screen_36,intl.jiyongkim.net,custom,7,99
Brunello Cucinelli,trueLux,1,1,,yes,licensed,Thermore(R); LYOCELL(TM)/TENCEL; FSC(R) (packaging boilerplate); 'technical fabric'; 'membrane'; cupro (generic fibre),census,shop.brunellocucinelli.com,salesforce_commerce,8,425
Fedeli,trueLux,1,1,,yes,both,Airstop (house); Cashmere Flanel (house); Sakar (house); Giza organic cotton; Alcantara (licensed),census,www.fedelicashmere.com,shopify,10,123
The Elder Statesman,trueLux,1,1,,yes,house,Nimbus (house knit name),census,elder-statesman.com,shopify,0,116
Hermès,trueLux,1,1,,yes,house,"Toilovent - a named Hermes technical fabric, used in composition position: ""Zipped puffer coat in super water-repellent Toilovent (87% polyamide, 13% elastane)"". Found on 4 of 152 men's PDPs read (puffer coat, jacket with foldable hood, reversible hooded vest, reversible overshirt). Also named HOUSE",census_followup,www.hermes.com,custom,,
Loro Piana,trueLux,2,1,,yes,both,"ON THE CURRENT MEN'S CATALOGUE (house, in the PLP material field, 1,755 men's variants): Storm System(R) 175 | The Gift of Kings(R) 139 | Wish(R) 108 | Rain System(R) 52 | Windmate(R) 15 | Pecora Nera(R) 9 | CashDenim(R) 8 (4 written with (R), 4 without) | Zelander(R) 4 | Clima System(R) 3 | Austral",census,us.loropiana.com,custom,0,675
Rubinacci,trueLux,1,1,,yes,unclear,"Loro Piana Storm System (spelled """"Storm Sistem"""" on site) - LICENSED (standing rule: Loro Piana mark on a house that is not Loro Piana)",flag_sample,www.marianorubinacci.com,custom,2,557
Kiton,trueLux,1,1,,no,none,,screen_36,kiton.com,shopify,5,375
Cesare Attolini,trueLux,1,1,,no,none,none,screen_36,www.cesareattolini.com,custom,,
Zilli,trueLux,2,1,,yes,licensed,"ZEISS(R) 9 products - LICENSED (sunglass lenses: 'fitted with exclusive ZEISS(R) lenses'); Brewed Protein(TM) 1 product - LICENSED (Spiber fibre, composition line '70% cashmere 30% Brewed Protein(TM) fiber', composition_only); Alcantara 1 product - LICENSED (down jacket lining); Goodyear 2 products",census,en.zilli.com,custom,2,257
Stefano Ricci,trueLux,1,1,,yes,house,"Alpha Yarn 64 products - HOUSE ('tailored from luxurious Alpha Yarn cashmere, sourced from the hand-combed undercoat of Mongolian goats'; also '100% Alpha Yarn Cashmere' in the composition line, and a top-level nav category /en-us/highlights/alpha-yarn/). 'Technical fabric' 39 products (generic, unb",census,www.stefanoricci.com,salesforce_commerce,4,999
