brand,verdict,marks_found,origin,rough_count,evidence_url,searched,notes
TravisMathew,names_technology,HEATER SERIES (house); CLOUD (house); Featherweight (house); Performance Jersey (house); TENCEL,house,444,https://travismathew.com/pages/fabric-tech,"Catalogue census: Shopify /products.json?limit=250 paged to exhaustion - 2,455 products over 11 pages, page 12 empty. Plus the brand's own /pages/fabric-tech page, found via /sitemap.xml -> pages sitemap. live: cotton 247/2455, jacket 119/2455. null: zzzqqxwv 0/2455. channel: body_html present and >50 chars on 2448/2455 and carries fabric copy.","House-only naming. The brand's own FABRIC & TECHNOLOGY page names exactly two technologies - HEATER SERIES and CLOUD - listed alongside unbranded attributes (4-WAY STRETCH, ENHANCED QUICK-DRY, LIGHTWEIGHT) which I did not count. PDP copy adds two further house fabric names: Featherweight (94 products) and Performance Jersey (17). Heater 98, Cloud 239. I judged these fabric names rather than collection names because the copy attaches them to the cloth ('made from soft, ultra-light Featherweight fabric with 4-way stretch'), and because the brand itself files HEATER and CLOUD under Fabric & Technology; CLOUD is the weakest of the four on that test since it also reads as a product line (Cloud Sweater Full Zip Jacket). Sole licensed trace is one TENCEL mention on a hat - composition_only. rough_count 444 is a deduplicated union."
Malbon,names_technology,GORE-TEX; Sorona; Lycra; TENCEL; adidas ULTIMATE365 (stocked adidas product),licensed,35,https://malbon.com/products/links-goretex-windshirt-brick-red,"Catalogue census: malbongolf.com redirects to malbon.com (noted, not a dead domain). Shopify /products.json?limit=250 paged to exhaustion - 1,069 products over 6 pages, page 7 empty. Plus /sitemap.xml pages list, checked for a fabrics/technology page (none exists; the 'performance' pages are size guides). live: cotton 392/1069, jacket 68/1069. null: zzzqqxwv 0/1069. channel: body_html present and >50 chars on 1063/1069.","THE ADIDAS CLAIM DOES NOT HOLD ON THE BRAND'S OWN SITE. Only 9 of 1,069 products (0.8%) mention adidas at all: 4 are Malbon x adidas footwear collabs (Samba, Gazelle, Spezial, Campus) and 5 are adidas-branded apparel carried in the shop (ULTIMATE365 shorts and anorak, Beyond Twistweave windbreaker). adidas technology naming appears on 3 products only, all ULTIMATE365; AEROREADY, CLIMACOOL, CLIMALITE, PRIMEGREEN, PRIMEBLUE, HEAT.RDY, RAIN.RDY and COLD.RDY are all zero. Malbon's own technical goods - Tour Divot rain jacket and pant, Arsham Cloudburst and Flint Stealth rain pieces, Performance nylon tech pant, Sungjae Im tech jacket - carry no adidas mark of any kind. How I separated stocked goods from house goods: the Shopify vendor field is useless here (Malbon 663, Malbon Golf 405, FootJoy 1 - the adidas items are filed under Malbon), so I separated on the ADIDAS title prefix plus explicit collab naming. House marks: none. 'Malbon Performance' is a logo printed on a waistband, a sub-line not a fabric, so it fails the fabric-name test. Licensed counts: GORE-TEX 1 (GORE-TEX LINKS WINDSHIRT, a Malbon product not an adidas one), Sorona 2, Lycra 27, TENCEL 2 - the last two composition_only."
RLX (Ralph Lauren),names_technology,COOLMAX,licensed,13,https://www.ralphlauren.com/brands-men-rlx-cg,"No product feed exists (ralphlauren.com is Demandware/SFCC; robots.txt disallows */search*, so no search channel was used). Isolation, then per-PDP fetches: RLX has two dedicated brand category pages on the parent site - /brands-men-rlx-cg (83 Items) and /brands-rlx-women-shop-all-cg (66 Items) - both linked from /brands-golf. Paged each grid with ?page=N to exhaustion, collected 152 PDP URLs (86 men, 66 women), fetched every one and grepped the server HTML. live: polyester 64/86 men and 61/66 women, breathable 18/86. null: zzzqqxwv 0/152. channel: full product description and bullet copy present in the server HTML of 152/152 PDPs.","How RLX was isolated: it is neither a separate site nor a filter facet - Ralph Lauren gives it two brand category pages, and every product on them carries an RLX callout in its own bullet copy ('Silicone RLX tab at the right sleeve', '3D silicone-printed RLX logo at the center back of the neck'), which is how I verified the grids are pure RLX rather than general golf. COOLMAX is the only named technology on the sub-line: 11 of 86 men's products, 2 of 66 women's, always as a fibre enhancement ('stretch wool-blend cloth that is enhanced with COOLMAX fibers'). Everything else is unbranded attribute copy - moisture-wicking 35 men / 16 women, water-repellent 7 / 2, four-way stretch 2 / 1. No house fabric name, no GORE-TEX, no PrimaLoft, no Thermolite. CONTROL WARNING for anyone reusing this site: 'cotton' is a broken live control on ralphlauren.com - it returns 86/86 because every RL page embeds a profanity blocklist containing the phrase 'cotton picker'. I used polyester and breathable as live controls instead."
johnnie-O,names_technology,PREP-FORMANCE (house); Featherweight (house); Linxter (house); PrimaLoft; Alcantara; COOLMAX; TENCEL,both,260,https://www.johnnie-o.com/collections/mens-prep-formance-gear,"Shopify storefront with the JSON feed disabled - /products.json, /collections/all/products.json, /collections.json and /search/suggest.json all return 404 (as a ~295KB HTML 404 page, so status alone is misleading). Fell back to /sitemap.xml -> 14 product sitemap chunks -> 13,420 product URLs; note the chunk URLs carry un-decoded &amp; and silently return the sitemap index unless the entities are decoded first. Then a per-category census of 15 men's collections (323 unique products) grepping server HTML, plus the dedicated house-fabric collections paged to exhaustion. live: cotton 288, jacket 256 across the 15 collections. null: zzzqqxwv 0. channel: each collection page embeds the full body_html of its product cards - verified by quoting product copy back out of it.","Both origins, and they are directly linked: the PREP-FORMANCE block on the button-up category page describes it as 'Our go-to signature blend of bamboo and COOLMAX' - a house name sitting on a licensed fibre. House names have dedicated collections (mens-prep-formance-gear, -polos, -button-down-shirts, -jersey-polos, mens-featherweight-collection, mens-linxter-polos). Licensed also: PrimaLoft carried in a product title ('Big Sur Full-Zip Performance Vest with PrimaLoft'), Alcantara as suede trim on a windbreaker and a quarter-zip placket, TENCEL composition_only. rough_count 260 = distinct men's products across the PREP-FORMANCE (253), Featherweight (47) and Linxter (68) collections, deduplicated. Method warning: a whole-PDP grep is worthless on this site - PREP-FORMANCE and Featherweight appear in the global nav of every product page, so 110 of 110 sampled PDPs 'matched' both. The count had to come from category membership, not from page text."
Percival,names_technology,"TENCEL (Lyocell); plus unnamed generic claims: ""waterproof"" 99x / ""technical fabric"" 11x / ""membrane"" 1x",licensed,847,https://www.percivalclo.com/products/mens-sherlock-short-trench-coat-waterproof-navy,"Catalogue census: /products.json?limit=250 paged to exhaustion, 6 pages / 847 products (5.79MB server JSON), word-boundary grep. Plus sitemap.xml -> 320 page/blog URLs incl. /blogs/fabric-guides (24 posts); server HTML of one outerwear PDP (1.62MB), /collections/mens-outerwear and the staple-fabrics blog post. CONTROLS: live PASS (cotton 2295, jacket 520 in same JSON); null PASS (zzzqqxwv = 0); channel PASS (847/847 products carry body_html with a Material: line).","TENCEL appears 28x and ONLY inside composition lines (e.g. 84% CLY (Lyocell/Tencel), 16% Polyamide) -> composition_only. The waterproof outerwear is described by spec not by name (10,000mm waterproof technical fabric with 2000g/sqm breathability, bonded PU lining, taped seams) - no licensed membrane named. No fabrics/technology/innovation page and no fabric filter facet on collections; the fabric-guides blog is generic textile education (linen, twill, merino, corduroy), not house marks. Sherlock/Carter/Blake are garment names (they vary by silhouette across the same fabrics) so not counted as fabric names."
Hiroshi Kato,names_technology,DENIT(R); 4-WAY STRETCH SELVEDGE(R),house,174,https://kato-brand.com/products/3005316ch,"Domain established first: katousa.com is Kato USA Precision Railroad Models (model trains, unrelated); hiroshikato.com is a GoDaddy parked for-sale page; katothebrand.com and katodenim.com are NXDOMAIN; katobrand.com times out. Correct site is kato-brand.com (title HIROSHI KATO | Official Online Store), found via a browser search-result listing then verified first-party. Catalogue census: /products.json?limit=250 paged to exhaustion, 3 pages / 174 products (1.06MB). Plus sitemap.xml -> 60 /pages/ URLs; server HTML of /pages/denim-details, /denim-made, /denim-ways, /denim-101-new-2025, /wash-guide, /american-made, /about-us. CONTROLS: live PASS (cotton 212, denim 516); null PASS (zzzqqxwv = 0); channel PASS (173/174 products carry body_html).","Zero hits on the whole licensed term list - that zero is controlled. Both marks are house and registered. Denit(R) 51x in the feed, used as a fabric not a fit: made with the revolutionary Denit(R) stretch fabric, and applied across Axe Chino, jeans and shirts. 4-WAY STRETCH SELVEDGE(R) sits in site-wide nav on every page. Single vendor (HIROSHI KATO) across all 174 products, so no multi-brand contamination to separate."
Sugar Cane,names_technology,SUGAR CANE FIBER DENIM (Japanese: sato-kibi denim); named variants Okinawa Lot. 301 and Hawaii Lot. 401; AWA-AI / Awa indigo (natural indigo); licensed: TENCEL,both,615,https://store.toyo-enterprise.co.jp/shopdetail/000000000027/,"Domain established first: Sugar Cane is a Toyo Enterprise house brand with its own brand site www.sugarcane.jp (editorial) but no own checkout - it carts to the multi-brand store.toyo-enterprise.co.jp. Censused both. (a) sugarcane.jp: same-origin crawl, 121 pages / 15.4MB server HTML. (b) store.toyo-enterprise.co.jp: per-PDP census of the whole Sugar Cane brand tree - /shopbrand/sugarcane/ gives 6 categories (ct6 JACKET 161, ct10 VEST 31, ct13 SHIRT 256, ct40 T-SHIRT 10, ct7 PANTS 127, ct22 GOODS 32 = 617 listed); paged all 6 to exhaustion -> 615 unique product ids, all 615 PDPs fetched and greped, English AND Japanese. Pages are EUC-JP - first pass decoded as Shift-JIS and returned 0 for every Japanese term (false zero); re-ran with a EUC-JP decoder. CONTROLS: live PASS (cotton 1805, jacket 6253, denim 4566 on sugarcane.jp); null PASS (zzzqqxwv = 0); channel PASS (615/615 PDPs carry full JP+EN descriptions).","Separation from other brands: the store also carries Sun Surf, Buzz Rickson's, Tailor Toyo, Duke Kahanamoku, Whitesville, Style Eyes, Star of Hollywood. I only fetched ids reached through the six SUGAR CANE brand categories, and re-checked brand on each PDP (0/615 lacked a SUGAR CANE brand string). House marks are fabric names, not garment names: the site defines SUGAR CANE FIBER DENIM as the brand's original denim made by blending bagasse (sugar cane fibre left after sugar refining) with cotton, and names two mill variants - left-hand twill Okinawa Lot. 301 and right-hand twill Hawaii Lot. 401 - both called Sugar Cane's signature Sugar Cane Fiber denim. AWA-AI (Awa indigo, 222x; hon-ai 270x) is the Tokushima natural-indigo dyeing programme, used on 13oz Sugar Cane Fiber White denim. Licensed: TENCEL 2x (Japanese katakana), in a fabric description on one ombre-check western shirt, not a composition table. Only other standard-list hit was generic water-repellent (10x)."
Buck Mason,names_technology,"Toughknit(TM) (house); PrimaLoft(R), Supima, TENCEL, Bemberg(R) (licensed)",both,994,https://www.buckmason.com/products/storm-stopper-bomber-jacket,"No Shopify feed - /products.json returns 404 on this headless storefront. Fell back to channel 1b: sitemap.xml -> sitemap-0.xml (2220 URLs) -> all 994 /products/ URLs fetched and greped as server HTML (~630KB/page), word-boundary grep plus a registered-mark regex for (R)/(TM) tokens. CONTROLS: live PASS (cotton 16485, jacket 6037 across the same 994 pages); null PASS (zzzqqxwv = 0); channel PASS (994/994 pages carry fabric/composition text).","Toughknit(TM) is house and is a fabric, not a fit or a collection: it is trademarked, appears 108x, and spans 22 distinct garments (classic tee, easy tee, tubular tee 2-pack, shrunken pocket tee, thermal LS crew, cropped LS crew, boyfriend crop V-neck) in several colourways - i.e. one knit cut into many garments. The knit is described as open-end cotton knit at BM Knitting Mills in Mohnton, PA. Licensed: PrimaLoft(R) 10x (Insulated with PrimaLoft(R) on the Storm Stopper bomber), Supima 219x, TENCEL 88x, Bemberg 3x (jacket linings). Supima/TENCEL are fibre brands used in fabric descriptions and composition lines -> treat as composition_only if the thread rules that way. Storm Stopper is a garment name, not a fabric - it is one bomber style, and its fabric is described separately as 5.5oz yarn-dyed cotton/poly twill with a durable water repellent finish."
Robert Barakett,names_technology,"TENCEL(TM) (licensed); ""Soft Water Finishing"" (house-named finishing process); unnamed generic ""water-repellent"" 1x",licensed,279,https://robertbarakett.com/pages/about-the-barakett-essentials,"Catalogue census: /products.json?limit=250 paged to exhaustion, 4 pages / 279 products (1.45MB). Plus sitemap.xml -> 29 /pages/ URLs; server HTML of /pages/the-brand, /pages/about-the-barakett-essentials, /collections/all and two PDPs (276KB each, to catch collapsed accordion/metafield text absent from body_html). CONTROLS: live PASS (cotton 240, shirt 84 in the same JSON); null PASS (zzzqqxwv = 0); channel PASS (279/279 products carry body_html with fabric text).","TENCEL(TM) 9x, written as a registered mark and used in fabric descriptions rather than only a composition table (e.g. crafted from a cotton and Tencel blend pique knit on the Sorrell LS Crew) - so arguably more than composition_only. The house signature is USA-grown Pima cotton, which is a generic cotton type not a mark - Supima, the branded version, is absent (0 hits). Soft Water Finishing is the only house-named process (FEEL: Soft Water Finishing - the process of Soft Water finishing ensures a luxurious hand feel, a clean appearance, and luster to the fabric) - it names a finish, not a garment, but it carries no (R)/(TM), so flagging it for the thread rather than calling it a mark. No fabrics/technology page beyond the Essentials page; no fabric filter facet. Single vendor (Robert Barakett / Robert Barakett Sale), so no other brands to separate."
Indochino,names_technology,"Lycra, TENCEL; Reda (Italian wool mill) named only in an image filename/alt on the fabrics page",licensed,2200,https://www.indochino.com/product/stapleford-seersucker-cream-blazer,"Made-to-measure, so the naming lives in the fabric library rather than a product listing - checked both. No feed (/products.json 404, not Shopify). Channel 1b/2: sitemap.xml -> 2652 URLs -> all 2200 /product/ URLs fetched and greped as server HTML (~730KB/page). Plus the fabric-library pages /suits/fabrics and /fabrics, and the FABRIC attribute block inside PDP JSON. CONTROLS: live PASS (wool 55515, cotton 12472 across the scanned pages); null PASS (zzzqqxwv = 0); channel PASS (2228 of the scanned pages carry fabric/composition text - each PDP exposes schema.org ""material"" plus a FABRIC attribute group).","Lycra 467x and TENCEL 212x. Lycra is composition_only (schema material 97% Wool, 3% Lycra; FABRIC attribute ""97% Wool, 3% Lycra""). TENCEL is both composition (72% Cotton, 27% Tencel, 1% Spandex) and marketing copy (the cotton-Tencel blend brings unexpected fluidity). Zero hits for gore-tex, loro piana, primaloft, coolmax, supima etc. across the full product crawl. Fabric library prose names no mill at all - it says only ""we partner with leading global mills"" and ""Australian Merino Wool"" - but ships an asset Indochino_Reda_Mill.jpg with alt ""Indochino Reda Mill"", so Reda is named on-site only in an image reference. CAVEAT: after the full crawl the site began serving a PerimeterX px-captcha page (5777 bytes) instead of PDPs. I did not attempt to solve it. A follow-up pass targeting Italian mill names (Vitale Barberis, Zegna, Albini, Thomas Mason) across 500 suit PDPs returned all-captcha pages and is therefore void - so the mill-name question beyond the standard term list is NOT controlled and stays open; the standard-term zeros above were all collected before the block."
Tecovas,names_technology,HOUSE: Muckoff Tread; Total Energy Command (TEC) Rubber Outsole. LICENSED: SUPIMA; REPREVE; COOLMAX / ECOMADE COOLMAX; LYCRA; PrimaLoft Silver; TurtleSkin; Stevensons H2O EverWax; Mossy Oak Original Bottomland / Original Break-Up; 3D Fit System; TENCEL,both,"356 unique PDPs censused (534 sitemap URLs incl. colour variants). Product-detail hits: SUPIMA 126 PDPs, 37.5 rejected (false positive), REPREVE 4, LYCRA 5, COOLMAX 2, Mossy Oak 2, PrimaLoft 1, TurtleSkin 1, EverWax 1, TENCEL 1, 3D Fit System 1; house Muckoff Tread 9, TEC outsole 7",https://www.tecovas.com/products/the-longhaul-wp-moc-comp-toe-work-boot,"CHANNEL 1 catalogue census: /products.json 404 (Next.js headless, not Shopify) so /sitemap.xml -> sitemap_products.xml -> 534 locs -> 356 unique product paths, server HTML fetched (233 MB), word-boundary grep + trademark-symbol harvest over the same corpus. CONTROLS on a 30-PDP sample: live 'cotton' 21/30 and 'leather' 30/30 (two unrelated live controls); null 'zzzqqxwv' 0/30; channel - description/composition text present in server HTML 30/30","Trademark harvest found more than the term list: MuckOff, TurtleSkin, EverWax, Mossy Oak, 3D Fit System, ECOMADE COOLMAX were all off-list. HOUSE vs LICENSED: Muckoff Tread and Total Energy Command (TEC) appear only in Tecovas work-boot spec bullets with no third-party attribution, and on no other brand's goods, so read as Tecovas' own; EverWax is attributed on-page to the mill ('Stevensons H2O EverWax') so licensed; TurtleSkin and Mossy Oak are third-party marks carried on Tecovas-label boots, so licensed-on-house-goods. 'LongHaul' is a boot line, not a fabric - excluded. FALSE POSITIVE: term '37.5' matched 107 pages but every hit was SVG path data or a size-chart range, never 37.5 Technology - dropped. NAV CHECK: 'waterproof' hit the gift-card page via a global product-recommendation payload, so counts above are the product-detail slice, not whole-page. MULTI-BRAND: Tecovas stocks co-branded YETI drinkware (YETI 12oz Colster, 21 PDPs); YETI marks excluded as stocked goods, separated on title prefix since there is no vendor field. TENCEL is in the marketing description, not only a composition line"
Barbour,names_technology,HOUSE: Sylkoil (waxed cotton); Thornproof (waxed cotton); Thermo Weave. LICENSED: none found,house,"842 US PDPs censused across 86 categories. Sylkoil 37 PDPs, Thornproof 8, Thermo Weave 4. Branded membranes: 0",https://www.barbour.com/us/ashby-waxed-jacket-MWX0339OL71.html,"CHANNEL 2 per-PDP census of the whole US catalogue: /products.json 404 (Salesforce Commerce Cloud). /sitemap_index.xml exists but its 5,878 product URLs are stale /row/ slugs that all 404 on both /row/ and /us/ - so product URLs were harvested from all 86 US category grids (?sz=200&start= paged to exhaustion), giving 842 PDPs, 266 MB of server HTML, word-boundary grep + trademark-symbol harvest. CONTROLS on a 34-PDP sample: live 'cotton' 19/34 and 'jacket' 34/34; null 'zzzqqxwv' 0/34; channel - composition and description text present 34/34 (e.g. 'Outer: Face: 65% Polyester ... Membrane: 100% Polyurethane')","FABRIC vs GARMENT: the only R/TM marks in the entire corpus are garment names - Bedale(R), Beaufort(R), Beadnell(R), Liddesdale(R) - which appear as product titles and in 'Shop the X' nav copy. The fabric names carry NO symbol and were found by house-name search, not the term list: they are decided as fabrics because they modify the material noun inside the composition/description slice ('Barbour's signature 6oz Sylkoil waxed cotton', 'medium weight 6oz Thornproof', 'Barbour's Thermo Weave fabric'), never as a product title. LICENSED MEMBRANE - NOT CONFIRMED: the brief expected licensed membranes on the waterproof range, but across all 842 PDPs there are zero hits for gore/gore-tex, hydro, aquadry, sympatex, pertex, ventile, dwr-as-a-mark, taped-seam or any 2/3-layer mark; the 19 waterproof-range PDPs describe the membrane generically as 'Membrane: 100% Polyurethane'. NAV CHECK: 'waterproof' scored 842/842 and 'wax for life' 842/842 - both are global-nav links (every content page carries exactly 3 'waterproof' nav hits), so all counts above are the product-detail slice. FALSE POSITIVE: 'dry finish' matched 'quick-dry finish'. SUB-LINE: Barbour International is not on barbour.com/us (separate domain), so no isolation needed; no other labels are stocked"
Baracuta,names_technology,HOUSE: Baracuta Cloth. LICENSED: COOLMAX; Thermore,both,"992 product URLs in sitemap / 392 unique styles. Baracuta Cloth 62 of 140 sampled PDPs, COOLMAX 27-42 PDPs, Thermore 4-8 PDPs",https://us.baracuta.com/pages/fabrics,"CHANNEL 1 then sitemap: /products.json paged to exhaustion returned only 302 products (page 3 empty) but /sitemap.xml holds 992 product URLs - the feed is INCOMPLETE, so the sitemap was used as the census base. 452 PDPs of server HTML scanned before Shopify 429-throttling, then 392 one-per-style representative PDPs re-run throttled; plus the rendered /pages/fabrics materials page. CONTROLS on 140 PDPs: live 'cotton' 78/140 and 'jacket' 140/140; null 'zzzqqxwv' 0/140; channel - composition/description text present in server HTML (COOLMAX, Thermore and Baracuta Cloth all appear there)","FEED CAP: products.json looked complete at 302 (a short page then an empty one) yet the storefront sitemap lists 992 - exactly the silent-cap failure mode; reporting off the feed alone would have undercounted by two thirds. HOUSE MARK MISSED BY THE TERM LIST: 'Baracuta Cloth' is the house fabric, named on a dedicated /pages/fabrics Materials page ('Experience the exceptional properties of Baracuta Cloth ... 58% Polyester, 42% Cotton') - that page's body is client-rendered and nearly absent from its server HTML, so it was read rendered; the mark IS in PDP server HTML (62/140) once you know to search for it. MULTI-BRAND: split on the products.json vendor field - BARACUTA 273, BARACUTA WOMAN 28, MARCHI VARI 1 (a 'Repairs' service, not a stocked label), so effectively single-brand and nothing had to be removed. EXCLUDED: 'Fraser' (1,493 hits / 148 PDPs) is the Fraser clan tartan used as the G9 lining - a pattern, not a technology. NAV CHECK: 'Harrington' scored 452/452 because the G9 Harrington is in the global nav; G9/G4/G12/G10/G18 are garment names, not fabrics"
Filson,names_technology,HOUSE: Tin Cloth; Shelter Cloth; Mackinaw Wool; Rugged Twill; Cover Cloth; Oil Finish; Dry Finish; Rain Cloth. LICENSED: PrimaLoft (incl. PrimaLoft Silver); CORDURA; YKK and YKK AquaGuard; TENCEL; COOLMAX; LYCRA,both,"999 products in feed; 976 PDPs fetched. Product-detail slice: Tin Cloth 101 products, Mackinaw 44, Shelter Cloth 23, Cover Cloth 22, Rugged Twill 21, Oil Finish 16, Dry Finish 8, Rain Cloth 1; PrimaLoft 16, YKK 26, CORDURA 4, TENCEL 3",https://www.filson.com/products/tin-cloth-short-lined-cruiser-jacket-dark-tan,"CHANNEL 1 catalogue census: /products.json?limit=250 paged to exhaustion - pages 1-4 gave 999 products, page 5 empty (sitemap lists only 928, so the feed is the fuller source). 976 of 999 PDPs then fetched as server HTML (216 MB; 23 lost to Shopify 429 after a throttled retry pass), plus trademark-symbol harvest over both the feed and the PDPs. CONTROLS: feed-level live 'cotton' 538/999, null 'zzzqqxwv' 0/999, channel 921/999 products carry body copy; PDP-level live 'cotton' 25/25 and 'jacket' 25/25, null 0/25, channel 25/25","NAV CHECK - THIS ONE MATTERS: on whole-page grep, tin cloth / mackinaw / rugged twill / alaskan guide / breathable / 37.5 all scored 976/976 because Filson's mega-nav lists every collection on every page. All counts above are the PRODUCT-DETAIL SLICE, taken from the feed's title+body_html+tags rather than the page, which removes the nav entirely. FABRIC vs GARMENT: Tin Cloth, Shelter Cloth, Mackinaw Wool, Rugged Twill, Cover Cloth and Rain Cloth are house FABRIC names - the copy defines them as materials ('Made with Tin Cloth, our heavy-duty waxed canvas', 'Midweight, water-resistant waxed Shelter Cloth pockets', 'our signature warm Mackinaw Wool in the torso') - even though they are also used as product-title prefixes. 'Alaskan Guide' (61 products) is the opposite case: it names a shirt line, never a material, so it is EXCLUDED. 'Oil Finish' and 'Dry Finish' are the two named wax finishes and are kept as house fabric-finish names. 'Moleskin' (18) is a generic fabric noun, not a Filson mark. MULTI-BRAND: split on the vendor field - Filson 924, the other 75 are city-store vendors ('Seattle Store', 'Ballard Store') attached to in-store events and Rewaxing Workshops, not other labels, so nothing stocked had to be removed. Wrangler x Filson collab items sit under vendor Filson and their marks (Tin Cloth, Mackinaw Wool) are Filson's own"
Madhappy,none,"none on the house label. TENCEL recorded, composition_only (2 products)",none,"941 house-label products of 1,055 in feed (114 stocked other-label products removed). Fabric/technology marks on house label: 0",https://www.madhappy.com/products/roxy-cotton-skirt-aop-tidal-stripe,"CHANNEL 1 catalogue census: /products.json?limit=250 paged to exhaustion - 1,055 products, page 6 empty. Scanned title+body_html+tags+type for every product, plus a 95-PDP server-HTML sample (163 MB) to catch collapsed detail accordions, plus trademark-symbol harvest over both. CONTROLS: feed-level live 'cotton' 782/941 house-label products, null 'zzzqqxwv' 0/941, channel 869/941 carry a percentage composition line; PDP-level live 'cotton' 28/32 and 'fabric' 32/32, null 0/32. All three pass, so the zero is a real zero","MULTI-BRAND SEPARATION: the Shopify vendor field on this store is GENDER (Unisex 752, Female 248, Accessory 43), not brand, so the split was made on TITLE PREFIX. 114 stocked other-label products removed: PUMA, KEEN, Converse, Hanes, FREECITY, Paraboot, Crocs, Marni, Baby-G (Casio), KUUMBA, Build-A-Bear. THE LORO PIANA HITS ARE NOT MADHAPPY'S: all 5 'Loro Piana' matches on the site are on FREECITY Dove Pillows ('100% Loro Piana Cashmere'), a stocked label - excluded under the stocked-goods rule; had they been Madhappy-label they would have scored as licensed under the standing rule. COLLABORATIONS: Madhappy's 63 collab styles (LA Dodgers, NY Yankees, NY Mets, Peanuts/Snoopy, Hello Kitty, '47, Crocs Jibbitz, Disney) carry IP and character licences - MLB, Hello Kitty, Major League Baseball - which are not fabric or garment technologies and are not counted. What remains on the house label is bare fibre vocabulary with no marks: merino 49, spandex 20, nylon 26, elastane 12, french terry 10, modal 3, TENCEL 2. FALSE POSITIVE: 'modal' scored 95/95 on PDPs as the JavaScript UI word - same trap as furthermore/Thermore. SUB-LINE: 'Local Optimist' (10 products) is Madhappy's own imprint, kept in the house count, and is an editorial name not a technology"
Kith,names_technology,"LICENSED, all on 'Kith for X' co-branded goods: Oakley Prizm / O Matter / Unobtainium; Salomon Contagrip / QuickLACE; OrthoLite; ASICS GEL-KAYANO / GEL-NIMBUS / FLUIDRIDE; TUMI Tracer; YETI MagSlider / DuraSip; Fender Stratocaster / ClassicGear; Yellowpop CertiLED. Plus LYCRA, composition_only. HOUSE: none",licensed,"4,851 Kith-label products of a 32,177-product union (36,411 in sitemap). Of those, 461 are 'Kith for <partner>' collabs and carry every technology mark; the 4,390 non-collab Kith-label products carry none except LYCRA in 6 composition lines",https://kith.com/products/sl45568800,"CHANNEL 1 catalogue census, paged past two silent caps: /products.json?limit=250 errors 400 at page 101, i.e. it caps at exactly 25,000 - but the sitemap holds 36,411 products. /collections/all/products.json returns a DIFFERENT ordering and another 25,000; unioning the two gave 32,177, and 1,572 of the remaining 3,174 archived handles were then pulled individually as /products/<handle>.js under throttling (Shopify 429s hard). Scanned title+description+tags for every product plus a 30-PDP server-HTML sample of non-collab Kith-label goods. CONTROLS on the Kith-label set: live 'cotton' 2,697/4,851, null 'zzzqqxwv' 0/4,851, channel 4,784/4,851 carry an explicit 'Material:' line; PDP-level live 'material' 7/7 and 'cotton' 4/7 on non-429 fetches, null 0/7","MULTI-BRAND SEPARATION: Kith is a 521-vendor retailer, so the split is on the products.json VENDOR field - kept Kith 2,774, Kith Women 831, Kith Kids 859, Kith Baby 332, Kith Treats 43, Kith for Invisible Friends 12; removed everything else (Nike 971, New Balance 766, Essentials 619, adidas 492, Rick Owens 420, Jordan 393 and so on). COLLABORATIONS: within the kept set, 461 products are titled 'Kith for <partner>' and are sold under Kith's own label, so their marks are counted - but every one of them is the PARTNER's technology, hence origin licensed, not house. Splitting them out (title regex on the partner name) leaves 4,390 non-collab Kith-label products whose only mark is LYCRA in 6 composition lines; Kith names no technology of its own. 'Kith Friend(R)' (12 products) is a character/mascot mark, not a technology - excluded. NAV CHECK: on PDP server HTML 'nylon' and 'modal' scored 30/30 and 'for YETI Rambler' and 'Monogram Program' 30/30, all from global nav/recommendation blobs, so all counts above are the product-detail slice from the feed. COVERAGE CAVEAT: 2,854 archived sitemap handles were not retrieved, but zero of the 1,572 archived handles that were retrieved are Kith-label vendors, so the unretrieved tail is very unlikely to hold house goods"
Aime Leon Dore,names_technology,GORE-TEX; Vibram; Sorona; waterproof; water-repellent; ripstop,licensed,"659 products in feed (whole catalogue); GORE-TEX 7, waterproof 7, Vibram 6, water-repellent 3, ripstop 2, Sorona 2",https://www.aimeleondore.com/products/lightweight-gore-tex-shell-jacket,"catalogue census, Shopify /products.json?limit=250 paged to exhaustion: pages 1-3 = 659 products, page 4 empty (did not stop on a short page, did not trust collections.json); scanned server body_html + title + tags + product_type, plus 3 full PDP server HTMLs (540-556KB) for accordion-hidden marks. live: cotton 367/659 AND jacket 40/659; null: zzzqqxwv 0/659; channel: body_html present on 637/659 and 'made in' 461/659, so descriptions are in the fetched text.","Multi-brand separation on the vendor field: 658 'Aime Leon Dore' + 1 'Rise.ai' (gift card) - nothing stocked from other labels. GORE-TEX sits in ALD's OWN product titles (Lightweight GORE-TEX Shell Jacket; Yankees/Mets/Dodgers GORE-TEX Rain Delay Jacket; GORE-TEX Striped Sailing Jacket), so it is a licensed mark on house goods, not a stocked third-party product. Vibram on ALD footwear. Trademark-symbol harvest returns nothing: ZERO TM/(R)/&trade;/&reg; anywhere on three full PDP HTMLs. No house fabric or technology name found."
