brand,names_technology,origin,marks_found,source,note
Acne Studios,yes,licensed,"ECONYL(R); TENCEL(TM) Lyocell; LENZING(TM) ECOVERO(TM); FSC(R); YKK (1 hit, whole-page only)",census,
Dries Van Noten,no,,none,flag_sample,
Wales Bonner,yes,licensed,Ecco(R) Leather; Loro Piana doeskin wool (licensed by standing rule); Vibram sole,census,
JiyongKim,yes,licensed,GORE-TEX,screen_36,
Brunello Cucinelli,yes,licensed,Thermore(R); LYOCELL(TM)/TENCEL; FSC(R) (packaging boilerplate); 'technical fabric'; 'membrane'; cupro (generic fibre),census,
Fedeli,yes,both,Airstop (house); Cashmere Flanel (house); Sakar (house); Giza organic cotton; Alcantara (licensed),census,
The Elder Statesman,yes,house,Nimbus (house knit name),census,
Hermès,yes,house,"Toilovent - a named Hermes technical fabric, used in composition position: ""Zipped puffer coat in super water-repellent Toilovent (87% polyamide, 13% elastane)"". Found on 4 of 152 men's PDPs read (puffer coat, jacket with foldable hood, reversible hooded vest, reversible overshirt). Also named HOUSE",census_followup,
Loro Piana,yes,both,"ON THE CURRENT MEN'S CATALOGUE (house, in the PLP material field, 1,755 men's variants): Storm System(R) 175 | The Gift of Kings(R) 139 | Wish(R) 108 | Rain System(R) 52 | Windmate(R) 15 | Pecora Nera(R) 9 | CashDenim(R) 8 (4 written with (R), 4 without) | Zelander(R) 4 | Clima System(R) 3 | Austral",census,
Rubinacci,yes,,"Loro Piana Storm System (spelled """"Storm Sistem"""" on site) - LICENSED (standing rule: Loro Piana mark on a house that is not Loro Piana)",flag_sample,
Kiton,no,none,,screen_36,
Cesare Attolini,no,none,none,screen_36,
Zilli,yes,licensed,"ZEISS(R) 9 products - LICENSED (sunglass lenses: 'fitted with exclusive ZEISS(R) lenses'); Brewed Protein(TM) 1 product - LICENSED (Spiber fibre, composition line '70% cashmere 30% Brewed Protein(TM) fiber', composition_only); Alcantara 1 product - LICENSED (down jacket lining); Goodyear 2 products ",census,
Stefano Ricci,yes,house,"Alpha Yarn 64 products - HOUSE ('tailored from luxurious Alpha Yarn cashmere, sourced from the hand-combed undercoat of Mongolian goats'; also '100% Alpha Yarn Cashmere' in the composition line, and a top-level nav category /en-us/highlights/alpha-yarn/). 'Technical fabric' 39 products (generic, unb",census,
